# Time-averaged data for fix 1
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
508 1492.38 122.348 44921.1 -42.9248 7.90913
509 1488.97 130.503 44924.6 -42.8902 7.89103
510 1486.2 138.645 44928.1 -42.8586 7.87638
511 1483.99 146.876 44931.8 -42.8293 7.86465
512 1482.23 154.467 44935.5 -42.8018 7.8553
513 1480.65 157.325 44939.3 -42.7745 7.84694
514 1479.18 161.663 44943.2 -42.7473 7.83916
515 1478.1 167.009 44947.2 -42.7215 7.83345
516 1477.63 172.966 44951.3 -42.6985 7.83096
517 1477.94 178.983 44955.4 -42.6789 7.83261
518 1479.17 184.602 44959.7 -42.6636 7.83909
519 1481.43 190.346 44964.1 -42.6531 7.85109
520 1484.87 196.008 44968.6 -42.6481 7.8693
521 1489.6 201.435 44973.1 -42.6493 7.8944
522 1495.76 206.514 44977.8 -42.6574 7.92705
523 1503.47 211.152 44982.6 -42.6729 7.96788
524 1512.82 215.277 44987.5 -42.6963 8.01745
525 1523.91 218.84 44992.5 -42.7281 8.07621
526 1536.77 221.835 44997.7 -42.7685 8.14438
527 1551.41 224.287 45002.9 -42.8174 8.22195
528 1567.75 226.261 45008.3 -42.8745 8.30855
529 1585.65 227.87 45013.8 -42.9389 8.4034
530 1604.87 229.296 45019.5 -43.0093 8.50528
531 1624.96 229.244 45025.2 -43.0839 8.61174
532 1645.2 228.028 45031.1 -43.1577 8.71903
533 1665.1 229.167 45037.1 -43.2286 8.82447
534 1684.8 227.211 45043.2 -43.2975 8.92888
535 1704.51 225.476 45049.5 -43.3655 9.03336
536 1724.1 223.837 45055.8 -43.4319 9.13714
537 1743.39 222.127 45062.3 -43.4958 9.23938
538 1762.24 220.356 45069 -43.5565 9.33926
539 1780.51 218.6 45075.7 -43.6132 9.4361
540 1798.12 216.977 45082.6 -43.6655 9.52942
541 1815.02 215.621 45089.5 -43.7133 9.61898
542 1831.16 214.028 45096.6 -43.7565 9.70452
543 1846.47 212.163 45103.8 -43.7944 9.78566
544 1861 210.998 45111.2 -43.8275 9.8627
545 1874.94 210.18 45118.6 -43.8569 9.93656
546 1888.43 209.938 45126.2 -43.8833 10.0081
547 1901.59 210.595 45133.8 -43.9076 10.0778
548 1914.52 212.186 45141.6 -43.9302 10.1463
549 1927.17 213.21 45149.5 -43.9508 10.2134
